gene_eQTL	Cell_Type_eQTL	ESF
DHX16	CD56bright_NK	0.9006622516556292
DTX4	CD56bright_NK	0.0695364238410596
DXO	CD56bright_NK	0.9304635761589404
EGFL8	CD56bright_NK	0.1854304635761589
EHMT2	CD56bright_NK	0.9304635761589404
FAM111A	CD56bright_NK	0.9801324503311258
FKBPL	CD56bright_NK	0.2615894039735099
FLOT1	CD56bright_NK	0.9966887417218544
GABBR1	CD56bright_NK	0.2847682119205298
GLYAT	CD56bright_NK	0.009933774834437
GNL1	CD56bright_NK	0.9536423841059604
GPANK1	CD56bright_NK	0.7913907284768212
GPSM3	CD56bright_NK	0.9966887417218544
GSTO2	CD56bright_NK	0.1291390728476821
GTF2H4	CD56bright_NK	0.5596026490066225
HLA-A	CD56bright_NK	0.9966887417218544
HLA-DMA	CD56bright_NK	0.9668874172185432
HLA-DMB	CD56bright_NK	0.9470198675496688
HLA-DOA	CD56bright_NK	0.2814569536423841
HLA-DOB	CD56bright_NK	0.1158940397350993
HLA-DPA1	CD56bright_NK	0.9933774834437086
HLA-DPB1	CD56bright_NK	0.9966887417218544
HLA-DQA1	CD56bright_NK	0.8609271523178808
HLA-DQA2	CD56bright_NK	0.6192052980132451
HLA-DQB1	CD56bright_NK	0.933774834437086
HLA-DQB2	CD56bright_NK	0.076158940397351
HLA-DRA	CD56bright_NK	0.9966887417218544
HLA-DRB1	CD56bright_NK	0.9966887417218544
HLA-DRB5	CD56bright_NK	0.9701986754966888
HLA-G	CD56bright_NK	0.3973509933774834
HSD17B8	CD56bright_NK	0.7847682119205298
HSPA1A	CD56bright_NK	0.9867549668874172
HSPA1B	CD56bright_NK	0.9867549668874172
HSPA1L	CD56bright_NK	0.2913907284768212
IER3	CD56bright_NK	0.97682119205298
ITPR3	CD56bright_NK	0.8973509933774835
ITPRIP	CD56bright_NK	0.97682119205298
KIFC1	CD56bright_NK	0.1456953642384106
LPXN	CD56bright_NK	0.9701986754966888
LSM2	CD56bright_NK	0.9867549668874172
LST1	CD56bright_NK	0.9437086092715232
LTB	CD56bright_NK	0.9966887417218544
LY6G5B	CD56bright_NK	0.4039735099337748
LY6G5C	CD56bright_NK	0.2913907284768212
LY6G6C	CD56bright_NK	0.0132450331125827
LY6G6D	CD56bright_NK	0.0
LY6G6E	CD56bright_NK	0.0
MED19	CD56bright_NK	0.8708609271523179
MICB	CD56bright_NK	0.8807947019867549
MSH5	CD56bright_NK	0.609271523178808
NCR3	CD56bright_NK	0.9966887417218544
NELFE	CD56bright_NK	0.9735099337748344
NEU1	CD56bright_NK	0.9006622516556292
NOTCH4	CD56bright_NK	0.3741721854304636
NRM	CD56bright_NK	0.6456953642384106
PACRG	CD56bright_NK	0.119205298013245
PBX2	CD56bright_NK	0.97682119205298
PHF1	CD56bright_NK	0.9966887417218544
PPP1R10	CD56bright_NK	0.9966887417218544
PPT2	CD56bright_NK	0.6291390728476821
PRR3	CD56bright_NK	0.8708609271523179
PRRT1	CD56bright_NK	0.0331125827814569
PSMB8	CD56bright_NK	0.9966887417218544
PSMB9	CD56bright_NK	0.9966887417218544
QKI	CD56bright_NK	0.9966887417218544
RGL2	CD56bright_NK	0.9271523178807948
RING1	CD56bright_NK	0.9668874172185432
RNF39	CD56bright_NK	0.0066225165562913
RNF5	CD56bright_NK	0.956953642384106
RPS18	CD56bright_NK	0.9966887417218544
RXRB	CD56bright_NK	0.9072847682119204
SAPCD1	CD56bright_NK	0.1655629139072847
SFR1	CD56bright_NK	0.6655629139072847
SFTA2	CD56bright_NK	0.0033112582781456
SKIV2L	CD56bright_NK	0.9602649006622516
SLC39A7	CD56bright_NK	0.9105960264900662
SLC44A4	CD56bright_NK	0.0231788079470198
SORCS3	CD56bright_NK	0.0066225165562913
STK19	CD56bright_NK	0.8774834437086093
SYNGAP1	CD56bright_NK	0.6754966887417219
TAP2	CD56bright_NK	0.9933774834437086
TAPBP	CD56bright_NK	0.9966887417218544
TRIM15	CD56bright_NK	0.0132450331125827
TUBB	CD56bright_NK	0.9966887417218544
VPS52	CD56bright_NK	0.8278145695364238
WDR46	CD56bright_NK	0.9205298013245032
ZBTB12	CD56bright_NK	0.0993377483443708
ZBTB22	CD56bright_NK	0.7913907284768212
ZBTB9	CD56bright_NK	0.3311258278145695
ZNF311	CD56bright_NK	0.009933774834437
ZNRD1	CD56bright_NK	0.97682119205298
ABCF1	CD8+_T_Effector_Memory	1.0
ABHD16A	CD8+_T_Effector_Memory	0.9966887417218544
AGER	CD8+_T_Effector_Memory	0.9635761589403974
AGPAT1	CD8+_T_Effector_Memory	0.9966887417218544
AIF1	CD8+_T_Effector_Memory	0.9966887417218544
APOM	CD8+_T_Effector_Memory	0.9834437086092715
ATAT1	CD8+_T_Effector_Memory	0.9503311258278144
ATF6B	CD8+_T_Effector_Memory	1.0
ATP6V1G2	CD8+_T_Effector_Memory	0.7549668874172185
B3GALT4	CD8+_T_Effector_Memory	0.9966887417218544
BAK1	CD8+_T_Effector_Memory	0.9966887417218544
BRD2	CD8+_T_Effector_Memory	1.0
C2	CD8+_T_Effector_Memory	0.3344370860927152
C4A	CD8+_T_Effector_Memory	0.0463576158940397
C4B	CD8+_T_Effector_Memory	0.0397350993377483
C6orf136	CD8+_T_Effector_Memory	1.0
CFB	CD8+_T_Effector_Memory	0.1324503311258278
CLIC1	CD8+_T_Effector_Memory	1.0
COL11A2	CD8+_T_Effector_Memory	0.2582781456953642
CTNND1	CD8+_T_Effector_Memory	0.8543046357615894
CUTA	CD8+_T_Effector_Memory	1.0
CYP21A2	CD8+_T_Effector_Memory	0.0960264900662251
DAXX	CD8+_T_Effector_Memory	1.0
DDAH2	CD8+_T_Effector_Memory	0.9735099337748344
DDR1	CD8+_T_Effector_Memory	0.6026490066225165
DHX16	CD8+_T_Effector_Memory	0.9966887417218544
DTX4	CD8+_T_Effector_Memory	0.3841059602649007
DXO	CD8+_T_Effector_Memory	0.9966887417218544
EGFL8	CD8+_T_Effector_Memory	0.8278145695364238
EHMT2	CD8+_T_Effector_Memory	0.9966887417218544
FAM111A	CD8+_T_Effector_Memory	0.9966887417218544
FKBPL	CD8+_T_Effector_Memory	0.8013245033112583
FLOT1	CD8+_T_Effector_Memory	0.9966887417218544
GABBR1	CD8+_T_Effector_Memory	0.9635761589403974
GLYAT	CD8+_T_Effector_Memory	0.1821192052980132
GNL1	CD8+_T_Effector_Memory	0.9966887417218544
GPANK1	CD8+_T_Effector_Memory	0.9900662251655628
GPSM3	CD8+_T_Effector_Memory	1.0
GSTO2	CD8+_T_Effector_Memory	0.6589403973509934
GTF2H4	CD8+_T_Effector_Memory	0.9867549668874172
HLA-A	CD8+_T_Effector_Memory	1.0
HLA-DMA	CD8+_T_Effector_Memory	0.9966887417218544
HLA-DMB	CD8+_T_Effector_Memory	0.9900662251655628
HLA-DOA	CD8+_T_Effector_Memory	0.9205298013245032
HLA-DOB	CD8+_T_Effector_Memory	0.6721854304635762
HLA-DPA1	CD8+_T_Effector_Memory	1.0
HLA-DPB1	CD8+_T_Effector_Memory	1.0
HLA-DQA1	CD8+_T_Effector_Memory	0.9966887417218544
HLA-DQA2	CD8+_T_Effector_Memory	0.890728476821192
HLA-DQB1	CD8+_T_Effector_Memory	0.9966887417218544
HLA-DQB2	CD8+_T_Effector_Memory	0.652317880794702
HLA-DRA	CD8+_T_Effector_Memory	0.9966887417218544
HLA-DRB1	CD8+_T_Effector_Memory	1.0
HLA-DRB5	CD8+_T_Effector_Memory	1.0
HLA-G	CD8+_T_Effector_Memory	0.9668874172185432
HSD17B8	CD8+_T_Effector_Memory	0.9966887417218544
HSPA1A	CD8+_T_Effector_Memory	1.0
HSPA1B	CD8+_T_Effector_Memory	1.0
HSPA1L	CD8+_T_Effector_Memory	0.8377483443708609
IER3	CD8+_T_Effector_Memory	0.9966887417218544
ITPR3	CD8+_T_Effector_Memory	0.9966887417218544
ITPRIP	CD8+_T_Effector_Memory	0.9966887417218544
KIFC1	CD8+_T_Effector_Memory	0.5596026490066225
LPXN	CD8+_T_Effector_Memory	0.9966887417218544
LSM2	CD8+_T_Effector_Memory	1.0
LST1	CD8+_T_Effector_Memory	0.9966887417218544
LTB	CD8+_T_Effector_Memory	1.0
LY6G5B	CD8+_T_Effector_Memory	0.913907284768212
LY6G5C	CD8+_T_Effector_Memory	0.9205298013245032
LY6G6C	CD8+_T_Effector_Memory	0.0298013245033112
